,0
0,Rachel Wilkerson Miller
1,Por que fazer faxina xc3xa0s sextas de noite foi a melhor decisxc3xa3o que jxc3xa1 tomei
2,Mas eu nxc3xa3o quero fazer faxina em uma noite de sexta-feira!
3," Certo xe2x80x94 a gente nunca quer fazer faxina. Porxc3xa9m, podemos tornar essa tarefa mais suportxc3xa1vel.  "
4,Monte uma fake news e diremos quantos % das pessoas vxc3xa3o acreditar nela
5,Tem coisas que com forxc3xa7a de vontade vocxc3xaa atxc3xa9 consegue acreditar mesmo.  
6,Spend All Of Your Money At Forever 21 And We'll Correctly Guess Which Animal You Own
7,"Trust us, we know.  "
8,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
9,Chrissy Teigen Got Mad At John Legend For This Pic Before They Were Married And It's Relatable As Heck
10,Ummm...who is that??  
11,30 Things To Help You Jump-Start Your New Year's Resolutions
12,"Listen xe2x80x94 you'll feel so much better by the time 2019 rolls around, I promise!  "
13,Here Are 11 Of Our Favorite Dog Pics To Look At On Instagram Right Now
14,Need a pup pic break? Yeah you do.  
15,"Scroll, enjoy, decompress. You got this."
16,"Alexandre Orrico, Gabriel Sukita"
17,Responda a este teste e diremos se vocxc3xaa prefere dinheiro ou transar
18,Aceitaria R$ 50 milhxc3xb5es para nunca mais transar em toda a sua vida?  
19,"gutabatalha, Isadora Manzaro, Suria Rocha"
20,Jxc3xa1 imaginou receber uma caixa com um ingrediente secreto de outro paxc3xads e ter que desenvolver uma receita com ele?
21,Nxc3xb3s desafiamos o Bien Tasty a fazer uma receita com um ingrediente brasileiro e eis aqui o resultado!  
22,de outra xc3xa9poca
23, nxc3xa3o justifica o Silvio Santos por ter assediado a Claudia Leitte em pleno Teleton
24,A cantora deixou perfeitamente evidente que estava incomodada e constrangida com a situaxc3xa7xc3xa3o.  
25,Estas fotos dramxc3xa1ticas mostram como os animais estxc3xa3o sendo afetados pelos incxc3xaandios na Califxc3xb3rnia
26,Mais de 30 pessoas morreram e milhares de casas jxc3xa1 foram destruxc3xaddas pelas chamas.  
27,31 Pairs Of Boots Under $50 That Look More Expensive Than They Actually Are
28,"Everything in this list is under $50, and now I have no more money.  "
29,This British Celebrity Spoke Powerfully About What He Has Learnt Since Son Came Out
30,"Just love them for who they are and allow them to feel safe. And those little digs and the little knocks and the abuse that they subtly get that we don't know about, perhaps they won't penetrate as deep."
31,As leis sempre estiveram contra a populaxc3xa7xc3xa3o negra xe2x80x93 e sxc3xb3 hxc3xa1 30 anos isso comexc3xa7ou a mudar
32,Nxc3xa3o faltam na histxc3xb3ria brasileira exemplos impressionantes de leis e medidas que agiram a favor da discriminaxc3xa7xc3xa3o.  
33,People Are Screaming After Nicki Minaj Decided To Shoot Her Shot At Michael B. Jordan
34,Shoutout to Michael B. Jordan because he's gonna be taking [this dress] off me tonight.
35,What Current Food Trends Do You Think Will Make Us Cringe In A Few Years?
36,There's an abundance to choose from.  
37,43 Products To Solve Your Biggest Frustrations
38,"Relax, these products have your back.  "
39,Answer These 8 Questions And We'll Reveal Which Queen Song You Are
40,Another one bites the dust
41,   
42,14 Products That'll Save You From Awkward Public ~Emergencies~
43,"A portable charger, panties-on-the-go kit, and things to keep on hand.  "
44,8 Of The Best Places To Reserve A Rental Car Online
45,Because it's time to cross 
46,road trip with my best friends
47, off your bucket list.  
48,You're About To Be A Lot More Productive Thanks To These $99 Noise-Cancelling Headphones
49,"No, you don't have to drop $300+ for Bose QuietComforts to get premium ANC.  "
